Year,Province,Technology,Generation_TWh
2035,JEJ,ThermalSteam{Coal},1e-06
2035,JEJ,ThermalSteam{NaturalGas},0.453807
2035,JEJ,VRE,0.099416
2035,JNA,Battery,0.003743
2035,JNA,ThermalPowerCCS{Coal},0.0
2035,JNA,ThermalPowerCCS{NaturalGas},0.0
2035,JNA,ThermalPower{Coal},10.236967
2035,JNA,ThermalPower{NaturalGas},25.689901
2035,JNA,ThermalPower{Uranium},0.0
2035,JNA,ThermalSteam{Coal},3e-06
2035,JNA,ThermalSteam{NaturalGas},1.134847
2035,JNA,VRE,0.0
2035,JNB,Battery,0.000161
2035,JNB,ThermalPowerCCS{Coal},0.0
2035,JNB,ThermalPowerCCS{NaturalGas},0.0
2035,JNB,ThermalPower{Coal},0.000269
2035,JNB,ThermalPower{NaturalGas},22.128165
2035,JNB,ThermalPower{Uranium},0.0
2035,JNB,ThermalSteam{Coal},1e-06
2035,JNB,ThermalSteam{NaturalGas},1.341688
2035,JNB,VRE,0.0
2035,KWJ,Battery,0.005406
2035,KWJ,ThermalPowerCCS{Coal},0.0
2035,KWJ,ThermalPowerCCS{NaturalGas},0.0
2035,KWJ,ThermalPower{Coal},0.000265
2035,KWJ,ThermalPower{NaturalGas},24.86006
2035,KWJ,ThermalPower{Uranium},0.0
2035,KWJ,ThermalSteam{Coal},0.212142
2035,KWJ,ThermalSteam{NaturalGas},0.51089
2035,KWJ,VRE,0.0
2035,PUS,Battery,0.001614
2035,PUS,ThermalPowerCCS{Coal},0.0
2035,PUS,ThermalPowerCCS{NaturalGas},0.0
2035,PUS,ThermalPower{Coal},0.000256
2035,PUS,ThermalPower{NaturalGas},80.83484
2035,PUS,ThermalPower{Uranium},0.0
2035,PUS,ThermalSteam{Coal},0.045531
2035,PUS,ThermalSteam{NaturalGas},2.121128
2035,PUS,VRE,0.0
2035,SEL,Battery,0.000207
2035,SEL,ThermalPowerCCS{Coal},0.0
2035,SEL,ThermalPowerCCS{NaturalGas},0.0
2035,SEL,ThermalPower{Coal},0.0
2035,SEL,ThermalPower{NaturalGas},0.124422
2035,SEL,ThermalPower{Uranium},2e-06
2035,SEL,ThermalSteam{Coal},0.153493
2035,SEL,ThermalSteam{NaturalGas},7.602732
2035,SEL,VRE,0.0
2035,SJG,Battery,0.000236
2035,SJG,ThermalPowerCCS{Coal},0.0
2035,SJG,ThermalPowerCCS{NaturalGas},0.0
2035,SJG,ThermalPower{Coal},2.7e-05
2035,SJG,ThermalPower{NaturalGas},0.169573
2035,SJG,ThermalPower{Uranium},0.0
2035,SJG,ThermalSteam{Coal},1e-06
2035,SJG,ThermalSteam{NaturalGas},0.787078
2035,SJG,VRE,0.0
2035,TAE,Battery,0.005299
2035,TAE,ThermalPowerCCS{Coal},0.0
2035,TAE,ThermalPowerCCS{NaturalGas},0.0
2035,TAE,ThermalPower{Coal},0.000273
2035,TAE,ThermalPower{NaturalGas},23.758617
2035,TAE,ThermalPower{Uranium},0.0
2035,TAE,ThermalSteam{Coal},0.0
2035,TAE,ThermalSteam{NaturalGas},1.022564
2035,TAE,VRE,0.0
2035,USN,Battery,0.002762
2035,USN,ThermalPowerCCS{Coal},0.0
2035,USN,ThermalPowerCCS{NaturalGas},0.0
2035,USN,ThermalPower{Coal},0.00027
2035,USN,ThermalPower{NaturalGas},24.831781
2035,USN,ThermalPower{Uranium},0.0
2035,USN,ThermalSteam{Coal},1e-06
2035,USN,ThermalSteam{NaturalGas},1.105405
2035,USN,VRE,0.0
