"energy_type_clean","date","emissions_kg","generation_mwh","emissions_kg_ma6"
"natural_gas",2013-12-01,1506624.6183,4854689.426,1157794.84076667
"oil",2013-12-01,356839.4967,525170.204,413384.809166667
"oil_and_natural_gas",2013-12-01,168100,310633,167333.333333333
"bio_oil_and_diesel",2014-01-01,33413,125121.9,30748.6666666667
"coal",2014-01-01,4887558.779,9427194.2,4840080.61555
"natural_gas",2014-01-01,1276085.918,4104682.05,1192598.56598333
"oil",2014-01-01,177337.5231,272261.203,358831.035016667
"oil_and_natural_gas",2014-01-01,130600,238491,152466.666666667
"bio_oil_and_diesel",2014-02-01,30701,112852.7,29944
"coal",2014-02-01,4472555.2837,8121870.897,4704054.4681
"natural_gas",2014-02-01,1021211.4998,3593249.502,1191619.07671667
"oil",2014-02-01,288669.8637,354652.026,323267.9029
"oil_and_natural_gas",2014-02-01,136800,265716,140783.333333333
"bio_oil_and_diesel",2014-03-01,31941,114371.9,30971.5
"coal",2014-03-01,4840613.5606,8661726.497,4725736.21113333
"natural_gas",2014-03-01,1063334.9894,3883209.384,1222444.7875
"oil",2014-03-01,343130.8984,485527.294,341321.8344
"oil_and_natural_gas",2014-03-01,141700,338582,149866.666666667
"bio_oil_and_diesel",2014-04-01,34038,118128.7,32187
"coal",2014-04-01,4269808.3544,7692476.954,4677457.368
"natural_gas",2014-04-01,823571.8294,3055200.748,1178686.534
"oil",2014-04-01,97637.1178,157427.066,281114.848416667
"oil_and_natural_gas",2014-04-01,97200,182621,139516.666666667
"bio_oil_and_diesel",2014-05-01,33976,114091.8,32609.3333333333
"coal",2014-05-01,4475450.1699,8131978.621,4654213.98351667
"natural_gas",2014-05-01,763446.0035,2829534.352,1075712.4764
"oil",2014-05-01,128553.6867,209408.48,232028.097733333
"oil_and_natural_gas",2014-05-01,87400,191078,126966.666666667
"bio_oil_and_diesel",2014-06-01,32747,107880.7,32802.6666666667
"coal",2014-06-01,4827042.1605,8558571.303,4628838.05135
"natural_gas",2014-06-01,616244.7294,2604648.874,927315.82825
"oil",2014-06-01,169492.8587,291729.959,200803.658066667
"oil_and_natural_gas",2014-06-01,62200,136268,109316.666666667
"bio_oil_and_diesel",2014-07-01,34836,117825.7,33039.8333333333
"coal",2014-07-01,5294538.8104,9462742.184,4696668.05658333
"natural_gas",2014-07-01,629217.7544,2881321.889,819504.46765
"oil",2014-07-01,248470.6331,390901.933,212659.1764
"oil_and_natural_gas",2014-07-01,131200,285010,109416.666666667
"bio_oil_and_diesel",2014-08-01,32164,113319.1,33283.6666666667
"coal",2014-08-01,5022723.0859,9213244.426,4788362.69028333
"natural_gas",2014-08-01,361494.8051,1860418.115,709551.6852
"oil",2014-08-01,42063.9323,53557.788,171558.187833333
"oil_and_natural_gas",2014-08-01,4500,7894,87366.6666666667
